"id","timestamp","level","message","stackTrace","userId","endpoint","method","statusCode","context","tags","resolved"
"E000001","2025-10-24T02:00:44.413Z","error","Database connection timeout","  at compressTZALH (belabor.ogg:474)
  at inputAVDZT (primary_if_since.docx:425)
  at hackMXYPT (trash_afterwards.msm:157)
  at bypassYZFMA (flawless_given_helplessly.jpg:431)
  at connectCHULV (well.3gp:337)
  at compressRROTO (fleck_as.text:67)
  at transmitWBAYV (overtrain_any.ogx:12)
  at indexXVOCV (or.ics:322)",6188,"/api/users","GET",400,"{""browser"":""Chrome"",""os"":""Windows"",""version"":""47.5""}","[""database"",""needs-investigation""]",true
"E000002","2025-10-21T12:41:11.740Z","critical","Null pointer exception","  at overrideHKBEK (bashfully_certainly_rebuff.xhtml:433)
  at copyWAPGV (following.spx:358)
  at programSKGLK (times_fair.php:20)
  at inputQMICY (aside.vsd:159)
  at connectUNAWK (which_thread_daintily.webp:412)",4622,"/api/products","POST",401,"{""browser"":""Firefox"",""os"":""macOS"",""version"":""73.7""}","[""auth"",""backend""]",false
"E000003","2025-10-17T02:52:34.183Z","error","Authentication failed","  at navigateKPRAI (loose_ample_shrill.pptx:195)
  at quantifyZDGAE (since_failing_anti.png:120)
  at transmitAFCKT (under_dicker.avif:364)
  at programJZFNT (unless_hotfoot.tar:50)
  at rebootRKFJJ (sniveling_joint_er.map:289)
  at hackCCKDZ (quirkily_psst.mp2a:111)",9448,"/api/orders","PUT",403,"{""browser"":""Safari"",""os"":""Linux"",""version"":""59.4""}","[""backend""]",true
"E000004","2025-10-25T00:13:42.395Z","critical","Invalid request parameters","  at quantifyVUDOT (but_indeed_whoa.ics:386)
  at parseUOYRT (trash_stealthily.webm:266)
  at synthesizeXLJAZ (absent.otf:225)
  at back upFAOKG (besmirch.doc:494)
  at copyXOFKL (spirited_under.jpeg:176)
  at inputUYEIG (surprisingly_sweetly_bah.wav:214)",,"/api/auth/login","DELETE",404,"{""browser"":""Edge"",""os"":""iOS"",""version"":""63.9""}","[""api"",""needs-investigation""]",false
"E000005","2025-10-14T09:55:06.097Z","error","Resource not found","  at rebootNAWNH (sans.mpg4:312)
  at copyXRXCQ (unethically_beside_scared.m1v:157)
  at inputELSHS (soybean.ini:388)",9870,"/api/auth/register","PATCH",500,"{""browser"":""Mobile Safari"",""os"":""Android"",""version"":""41.7""}","[""database"",""backend""]",false
"E000006","2025-10-23T20:49:55.378Z","critical","Permission denied","  at hackRZZTY (grubby.vss:209)
  at transmitLKEYT (ape.rmi:455)
  at indexIAGVW (failing_whenever_burgeon.rtf:425)
  at generateBZKSR (tepid_in_phooey.docx:49)",5636,"/api/payments","GET",502,"{""browser"":""Chrome"",""os"":""Windows"",""version"":""32.1""}","[""api""]",false
"E000007","2025-10-19T05:52:00.591Z","error","Rate limit exceeded","  at rebootNTUFB (geez_hovercraft_deeply.xsl:427)
  at hackVSEUU (eke.odt:274)
  at programHUXVG (complete_runny_statement.m2a:429)
  at indexCLXLE (fax_for_vanish.shtml:45)",5834,"/api/settings","POST",503,"{""browser"":""Firefox"",""os"":""macOS"",""version"":""39.4""}","[""critical"",""auth""]",false
"E000008","2025-10-08T04:55:33.378Z","critical","Internal server error","  at inputOOQUI (ethyl_porter_as.mp4v:331)
  at calculateCNLFK (so.tar:185)
  at connectJLIHJ (perp_beside.m3a:491)
  at synthesizeLYAYW (sediment_fooey_duh.mpkg:293)
  at synthesizePSGDM (inborn_astride_why.dmg:89)
  at rebootZHGPM (brand_ick_wasabi.jar:372)",4589,"/api/analytics","PUT",400,"{""browser"":""Safari"",""os"":""Linux"",""version"":""56.5""}","[""critical"",""auth"",""needs-investigation""]",false
"E000009","2025-11-06T09:09:01.454Z","error","Failed to process payment","  at navigateAGNEH (hard_to_find.ics:263)
  at programGDPSN (via.xlw:412)
  at back upLPVTR (minus_curse.dump:318)",8966,"/api/users","DELETE",401,"{""browser"":""Edge"",""os"":""iOS"",""version"":""20.2""}","[""backend""]",false
"E000010","2025-10-19T05:39:42.597Z","critical","Network error","  at calculateYJUNQ (sharply.rmi:144)
  at bypassLADSZ (boo_why.avi:354)
  at hackDELRH (however.xlt:62)
  at rebootFGZEA (definitive_boohoo.woff2:148)",,"/api/products","PATCH",403,"{""browser"":""Mobile Safari"",""os"":""Android"",""version"":""87.8""}","[""auth"",""api"",""frontend""]",false
"E000011","2025-10-22T20:50:21.335Z","error","Database connection timeout","  at generateNOGOR (wonderfully_accomplished_following.mp3:90)
  at programBAGEY (among.ini:469)
  at inputWPAUV (incomplete_anenst_likely.pot:351)
  at inputUMVDT (what_inventory.wav:122)
  at parseACOAN (norm_reference_potable.opus:325)
  at quantifyPPVLR (next_coagulate_obediently.dll:440)
  at rebootBZXEO (knickers_shore.otf:60)",547,"/api/orders","GET",404,"{""browser"":""Chrome"",""os"":""Windows"",""version"":""68.4""}","[""critical""]",true
"E000012","2025-10-26T20:31:35.664Z","critical","Null pointer exception","  at programSZCZD (over_gladly.3gp:452)
  at quantifyCXMDC (ordinary.webp:131)
  at programHAOSD (pish_unibody_curiously.dll:196)
  at back upMHHHP (gorgeous.opus:55)
  at parseKTFQQ (woot.php:8)",2020,"/api/auth/login","POST",500,"{""browser"":""Firefox"",""os"":""macOS"",""version"":""85.3""}","[""critical""]",false
"E000013","2025-11-01T05:52:03.388Z","error","Authentication failed","  at bypassHWZEW (blissfully.ods:443)
  at bypassEFRHP (yippee_avaricious_tame.bz:16)
  at navigateXGCWR (up_subdued.azw:43)
  at hackHXATZ (overdue_supposing.mp2a:198)
  at rebootPJOYO (flight_loftily.eot:366)
  at indexNBVZJ (restaurant_indeed.dmg:190)",5086,"/api/auth/register","PUT",502,"{""browser"":""Safari"",""os"":""Linux"",""version"":""23.6""}","[""auth"",""api"",""backend""]",false
"E000014","2025-11-05T08:17:08.029Z","critical","Invalid request parameters","  at navigateKQZLH (tangible.mid:143)
  at parseNNZCJ (ostrich.m1v:64)
  at bypassJLINX (furthermore_shoulder.eot:228)",9184,"/api/payments","DELETE",503,"{""browser"":""Edge"",""os"":""iOS"",""version"":""105.0""}","[""needs-investigation"",""api""]",false
"E000015","2025-10-28T18:35:53.201Z","error","Resource not found","  at indexOKIDR (brief.avif:29)
  at navigateVCGYF (suv_faithfully.html:84)
  at parseFOOSQ (unless.xsd:482)
  at quantifyVSNPS (hepatitis_impostor_opposite.jsonld:2)
  at calculateREQPT (utilized_crest.csv:183)
  at connectERNMP (colonialism_guacamole.jsonld:7)",5758,"/api/settings","PATCH",400,"{""browser"":""Mobile Safari"",""os"":""Android"",""version"":""57.8""}","[""needs-investigation"",""database""]",true
"E000016","2025-10-24T22:20:35.439Z","critical","Permission denied","  at quantifyOJTBJ (duh.xlc:94)
  at programWKUSI (when.jpeg:63)
  at inputEPLMK (like_apud_ostrich.boz:62)
  at generateCISLG (per_the.webp:393)
  at quantifyAQIUZ (out.distz:162)
  at transmitQBIRC (among_calculus.xlsx:104)
  at compressLTFDG (ruddy.bpk:289)",,"/api/analytics","GET",401,"{""browser"":""Chrome"",""os"":""Windows"",""version"":""11.8""}","[""database"",""frontend"",""auth""]",false
"E000017","2025-10-23T16:37:14.600Z","error","Rate limit exceeded","  at connectRVZGH (rarely_dreamily.m3a:59)
  at calculateTAAPQ (of_far_overdub.vst:462)
  at compressZNBNU (stale.json:35)
  at parsePRVWI (ew_sternly.pkg:146)
  at copyCXWJC (except.kar:205)
  at transmitLWPDJ (positively.xls:123)
  at copyTHVAU (provided_tag_subtract.ics:162)",9119,"/api/users","POST",403,"{""browser"":""Firefox"",""os"":""macOS"",""version"":""17.3""}","[""payment"",""frontend"",""database""]",true
"E000018","2025-11-04T16:42:09.317Z","critical","Internal server error","  at rebootAXLSM (transplant.pptx:130)
  at hackDHMCF (lawful_supposing.wav:341)
  at indexMJGJM (excluding_papa_embarrassment.png:54)
  at generateNGFXX (bony_ouch.distz:222)
  at calculatePPEPI (wide_gape_boo.def:367)
  at parseCIFJQ (oh.xhtml:121)
  at back upLFUGA (reprove_shrilly.xls:469)
  at calculateQEOMN (unimpressively_whoever_excluding.epub:100)",4150,"/api/products","PUT",404,"{""browser"":""Safari"",""os"":""Linux"",""version"":""120.2""}","[""api""]",false
"E000019","2025-10-12T07:00:35.049Z","error","Failed to process payment","  at transmitSMDWK (now.3gp:122)
  at copyQYCNR (indeed_aside.jar:179)
  at generateOCCBN (electrify_drat.xml:61)
  at bypassCWFLD (selfishly_joyous.deb:281)
  at programOIWNO (at.otf:166)",4194,"/api/orders","DELETE",500,"{""browser"":""Edge"",""os"":""iOS"",""version"":""104.3""}","[""frontend"",""backend""]",false
